113,OPEN,85370525346413,14780,14767,14773,7,557056,skipper,/etc/os-release
114,OPEN,85370525435265,14780,14767,14773,7,557056,skipper,/proc/uptime
115,OPEN,85370525515542,14780,14767,14773,7,557056,skipper,/proc/75
116,OPEN,85370525594724,14780,14767,14773,7,557056,skipper,/proc/75/cmdline
117,OPEN,85370525663311,14780,14767,14773,7,557056,skipper,/proc/75/stat
118,OPEN,85370525753832,14780,14767,14773,7,557056,skipper,/proc/66
119,OPEN,85370525802276,14780,14767,14773,7,557056,skipper,/proc/66/cmdline
120,OPEN,85370525875128,14780,14767,14773,7,557056,skipper,/proc/66/stat
121,OPEN,85370525965324,14780,14767,14773,7,557056,skipper,/proc/55
122,OPEN,85370526013859,14780,14767,14773,7,557056,skipper,/proc/55/cmdline
123,OPEN,85370526079830,14780,14767,14773,7,557056,skipper,/proc/55/stat
124,OPEN,85370526585443,14780,14767,14773,7,557056,skipper,/dev/null
125,CLONE,85370526712871,14780,14767,14773,0,0,skipper,
126,FORK,85370526769257,14780,14767,14773,0,0,skipper,
127,PWD,/workspace/
127,EXECVE_RET,85370526872181,14781,14773,14781,0,0,skipper,ls 
128,OPEN,85370527180594,14781,14773,14781,3,557056,ls,/etc/ld.so.cache
129,OPEN,85370527239166,14781,14773,14781,3,557056,ls,/lib/x86_64-linux-gnu/libselinux.so.1
130,CLONE,85370527348139,14775,14767,14773,0,0,skipper,
131,FORK,85370527395000,14775,14767,14773,0,0,skipper,
132,OPEN,85370527464679,14781,14773,14781,3,557056,ls,/lib/x86_64-linux-gnu/libc.so.6
133,OPEN,85370527558453,14781,14773,14781,3,557056,ls,/lib/x86_64-linux-gnu/libpcre.so.3
134,OPEN,85370527657472,14781,14773,14781,3,557056,ls,/lib/x86_64-linux-gnu/libdl.so.2
135,OPEN,85370527769122,14781,14773,14781,3,557056,ls,/lib/x86_64-linux-gnu/libpthread.so.0
136,OPEN,85370528237190,14781,14773,14781,3,557056,ls,/proc/filesystems
137,OPEN,85370528356775,14781,14773,14781,-2,557056,ls,/usr/lib/locale/locale-archive
138,OPEN,85370528419408,14781,14773,14781,-2,557056,ls,/usr/share/locale/locale.alias
139,OPEN,85370528461465,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_IDENTIFICATION
140,OPEN,85370529529289,14781,14773,14781,3,32768,ls,/usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
141,OPEN,85370529598429,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_MEASUREMENT
142,OPEN,85370530246650,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_TELEPHONE
143,OPEN,85370530884030,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_ADDRESS
144,OPEN,85370531707161,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_NAME
145,OPEN,85370532330564,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_PAPER
146,OPEN,85370532928014,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_MESSAGES
147,OPEN,85370532986107,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_MESSAGES/SYS_LC_MESSAGES
148,OPEN,85370533045814,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_MONETARY
149,OPEN,85370533691501,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_COLLATE
150,OPEN,85370539815310,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_TIME
151,OPEN,85370540447360,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_NUMERIC
152,OPEN,85370540939362,14781,14773,14781,3,557056,ls,/usr/lib/locale/C.UTF-8/LC_CTYPE
153,OPEN,85370541023949,14781,14773,14781,3,624640,ls,/workspace/.
154,EXIT,85370541294075,14781,14773,14781,0,0,ls,
155,OPEN,85370541510638,14780,14767,14773,-2,557056,skipper,/tmp/yourbase-mark-step-run
156,EXIT,85370541586427,14780,14767,14773,0,0,skipper,
157,EXIT,85370541628661,14773,14767,14773,0,0,skipper,
158,EXIT,85370541656634,14776,14767,14773,0,0,skipper,
159,EXIT,85370541685318,14777,14767,14773,0,0,skipper,
160,EXIT,85370541717549,14778,14767,14773,0,0,skipper,
161,EXIT,85370541743375,14775,14767,14773,0,0,skipper,
162,EXIT,85370541861478,14782,14767,14773,0,0,skipper,
163,EXIT,85370542467369,14767,14758,14767,0,0,skipper,
164,EXIT,85370542520036,14768,14758,14767,0,0,skipper,
165,EXIT,85370542549036,14769,14758,14767,0,0,skipper,
166,EXIT,85370542575020,14770,14758,14767,0,0,skipper,
167,EXIT,85370542599968,14771,14758,14767,0,0,skipper,
168,EXIT,85370542625183,14774,14758,14767,0,0,skipper,
169,OPEN,85370543249905,14761,14690,14758,3,557056,yb,/dev/null
170,CLONE,85370543396010,14761,14690,14758,0,0,yb,
171,FORK,85370543453309,14761,14690,14758,0,0,yb,
172,PWD,/workspace/
172,EXECVE_RET,85370543556864,14783,14758,14783,0,0,yb,/skipper -- ls -alt 
173,OPEN,85370543884410,14783,14758,14783,3,557056,skipper,/etc/ld.so.cache
174,OPEN,85370543944506,14783,14758,14783,3,557056,skipper,/lib/x86_64-linux-gnu/libpthread.so.0
175,OPEN,85370544046950,14783,14758,14783,3,557056,skipper,/lib/x86_64-linux-gnu/libc.so.6
176,CLONE,85370544937879,14783,14758,14783,0,0,skipper,
177,FORK,85370544989945,14783,14758,14783,0,0,skipper,
178,CLONE,85370545065522,14783,14758,14783,0,0,skipper,
179,FORK,85370545112337,14783,14758,14783,0,0,skipper,
180,CLONE,85370545210009,14783,14758,14783,0,0,skipper,
181,FORK,85370545253049,14783,14758,14783,0,0,skipper,
182,CLONE,85370546271214,14783,14758,14783,0,0,skipper,
183,FORK,85370546333052,14783,14758,14783,0,0,skipper,
184,OPEN,85370546677423,14783,14758,14783,3,557056,skipper,/proc/stat
185,OPEN,85370546826746,14783,14758,14783,3,557056,skipper,/proc/stat
186,OPEN,85370546959564,14783,14758,14783,3,557056,skipper,/dev/null
187,CLONE,85370547059215,14783,14758,14783,0,0,skipper,
188,FORK,85370547102008,14783,14758,14783,0,0,skipper,
189,PWD,/workspace/
189,EXECVE_RET,85370547194956,14788,14783,14788,0,0,skipper,/usr/bin/getconf CLK_TCK 
190,OPEN,85370547493461,14788,14783,14788,3,557056,getconf,/etc/ld.so.cache
